id,comic_name,writer_name,publisher,publication_magazine,publish_number,publish_status,duration,img_url,rating
1,花より男子,神尾葉子,集英社,マーガレット,全37巻,完結済,"1992 〜 2008",https://images-na.ssl-images-amazon.com/images/I/515XH2XSM4L.jpg,4.24
2,マギ,大高忍,小学館,週刊少年サンデー,全37巻,完結済,"2009 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51l%2BdZsVseL.jpg,4.23
3,鋼の錬金術師,荒川弘,スクウェア・エニックス,月刊少年ガンガン,全27巻,完結済,"2002 〜 2010",https://images-na.ssl-images-amazon.com/images/I/51XH5CNKT0L.jpg,4.22
4,君に届け,椎名軽穂,集英社,別冊マーガレット,全30巻,完結済,"2006 〜 2018",https://images-na.ssl-images-amazon.com/images/I/41S0EBkkpOL.jpg,4.2
5,アオハライド,咲坂伊緒,集英社,別冊マーガレット,全13巻,完結済,"2011 〜 2015",https://images-na.ssl-images-amazon.com/images/I/51YDPyxEjDL.jpg,4.17
6,弱虫ペダル,渡辺航,秋田書店,週刊少年チャンピオン,63巻,連載中,"2008 〜 ",https://images-na.ssl-images-amazon.com/images/I/61RLrZMKmCL.jpg,4.17
7,宇宙兄弟,小山宙哉,講談社,モーニング,36巻,連載中,"2008 〜 ",https://images-na.ssl-images-amazon.com/images/I/51DrmothWYL.jpg,4.13
8,ちびまる子ちゃん,さくらももこ,集英社,りぼん,全17巻,完結済,"1987 〜 2018",https://images-na.ssl-images-amazon.com/images/I/51jQzEinF8L.jpg,4.11
9,北斗の拳,"武論尊 原哲夫",集英社,週刊少年ジャンプ,全27巻,完結済,"1984 〜 1989",https://images-na.ssl-images-amazon.com/images/I/21TKNDN7BSL.jpg,4.09
10,からかい上手の高木さん,山本崇一朗,小学館,ゲッサン,11巻,連載中,"2014 〜 ",https://images-na.ssl-images-amazon.com/images/I/51g3RhKRFmL.jpg,4.09
11,きょうは会社休みます。,藤村真理,集英社,Cocohana,全13巻,完結済,"2012 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51DD27CQ5JL.jpg,4.07
12,闇金ウシジマくん,真鍋昌平,小学館,ビッグコミックスピリッツ,全46巻,完結済,"2004 〜 2019",https://images-na.ssl-images-amazon.com/images/I/51zW%2BDFxlcL.jpg,4.06
13,天は赤い河のほとり,篠原千絵,小学館,少女コミック(Sho-Comi),全28巻,完結済,"1995 〜 2002",https://images-na.ssl-images-amazon.com/images/I/516YeJfvoeL.jpg,4.05
14,オオカミ少女と黒王子,八田鮎子,集英社,別冊マーガレット,全16巻,完結済,"2011 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51PxgIiL9lL.jpg,4.04
15,センセイ君主,幸田もも子,集英社,別冊マーガレット,全13巻,完結済,"2013 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51WIWBKbh0L.jpg,4.04
16,3月のライオン,羽海野チカ,白泉社,ヤングアニマル,14巻,連載中,"2008 〜 ",https://images-na.ssl-images-amazon.com/images/I/51aMASBzCCL.jpg,4.04
17,金色のガッシュ!!,雷句誠,小学館,週刊少年サンデー,全33巻,完結済,"2001 〜 2008",https://images-na.ssl-images-amazon.com/images/I/51f4KB%2BOH9L.jpg,4.03
18,思い、思われ、ふり、ふられ,咲坂伊緒,集英社,別冊マーガレット,12巻,連載中,"2015 〜 ",https://images-na.ssl-images-amazon.com/images/I/51Mrd0FQh4L.jpg,4.03
19,暁のヨナ,草凪みずほ,白泉社,花とゆめ,30巻,連載中,"2010 〜 ",https://images-na.ssl-images-amazon.com/images/I/51bX-m%2BBLoL.jpg,4.03
20,アイアムアヒーロー,花沢健吾,小学館,ビッグコミックスピリッツ,全22巻,完結済,"2009 〜 2017",https://images-na.ssl-images-amazon.com/images/I/51AHe1XcVsL.jpg,4.02
21,DAYS,安田剛士,講談社,週刊少年マガジン,34巻,連載中,"2013 〜 ",https://images-na.ssl-images-amazon.com/images/I/51AnEZ7x2WL.jpg,4.02
22,虹色デイズ,水野美波,集英社,別冊マーガレット,全16巻,完結済,"2012 〜 2018",https://images-na.ssl-images-amazon.com/images/I/51-eRhDS-tL.jpg,4.01
23,WORST,高橋ヒロシ,秋田書店,月刊少年チャンピオン,全33巻,完結済,"2002 〜 2013",https://images-na.ssl-images-amazon.com/images/I/2133BWCPTRL.jpg,4.0
24,エリアの騎士,"月山可也 伊賀大晃",講談社,週刊少年マガジン,全57巻,完結済,"2006 〜 2017",https://images-na.ssl-images-amazon.com/images/I/511AAEDJV3L.jpg,4.0
25,ろくでなしblues,森田まさのり,集英社,週刊少年ジャンプ,全42巻,完結済,"1989 〜 1997",https://images-na.ssl-images-amazon.com/images/I/21KAHQWCG8L.jpg,4.0
26,ヒカルの碁,"ほったゆみ 小畑健 梅沢由香里",集英社,週刊少年ジャンプ,全23巻,完結済,"1999 〜 2003",https://images-na.ssl-images-amazon.com/images/I/51bGVh04EbL.jpg,4.0
